2020-04-11 15:14:56, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:14:56, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:14:59, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:11, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:11, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:14, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:26, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:26, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:29, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:32, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:41, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:41, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:44, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:47, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:56, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:56, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:15:59, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
