2020-04-08 14:07:30, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.72, 	0.079, 	0.513743%, 	0.360000%, 	0.153743%
2020-04-08 14:07:45, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.72, 	0.079, 	0.513743%, 	0.360000%, 	0.153743%
2020-04-08 14:08:00, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.7, 	0.079, 	0.526654%, 	0.360000%, 	0.166654%
2020-04-08 14:08:15, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.62, 	0.079, 	0.578332%, 	0.360000%, 	0.218332%
2020-04-08 14:08:30, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.46, 	0.079, 	0.681847%, 	0.360000%, 	0.321847%
2020-04-08 14:08:45, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.39, 	0.079, 	0.727203%, 	0.360000%, 	0.367203%
2020-04-08 14:09:00, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.34, 	0.60784, 	0.759624%, 	0.360000%, 	0.399624%
2020-04-08 14:09:15, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.34, 	0.60784, 	0.759624%, 	0.360000%, 	0.399624%
2020-04-08 14:09:30, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.31, 	0.60784, 	0.779087%, 	0.360000%, 	0.419087%
2020-04-08 14:09:45, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.21, 	0.60784, 	0.844018%, 	0.360000%, 	0.484018%
2020-04-08 14:10:00, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.14, 	0.60784, 	0.889519%, 	0.360000%, 	0.529519%
2020-04-08 14:10:15, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.09, 	0.60784, 	0.922045%, 	0.360000%, 	0.562045%
2020-04-08 14:10:30, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.06, 	0.60784, 	0.941571%, 	0.360000%, 	0.581571%
2020-04-08 14:10:46, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.22, 	0.60784, 	0.837521%, 	0.360000%, 	0.477521%
2020-04-08 14:11:01, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.22, 	0.60784, 	0.837521%, 	0.360000%, 	0.477521%
2020-04-08 14:11:16, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.22, 	0.60784, 	0.837521%, 	0.360000%, 	0.477521%
2020-04-08 14:11:31, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.22, 	0.60784, 	0.837521%, 	0.360000%, 	0.477521%
2020-04-08 14:11:46, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.22, 	0.60784, 	0.837521%, 	0.360000%, 	0.477521%
2020-04-08 14:12:01, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.22, 	0.60784, 	0.837521%, 	0.360000%, 	0.477521%
2020-04-08 14:12:16, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.33, 	0.60784, 	0.766111%, 	0.360000%, 	0.406111%
2020-04-08 14:12:31, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.22, 	0.60784, 	0.837521%, 	0.360000%, 	0.477521%
2020-04-08 14:12:46, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.12721, 	155.26, 	0.60784, 	0.811542%, 	0.360000%, 	0.451542%
