2020-04-08 09:47:58, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:48:13, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:48:28, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:48:43, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:48:58, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:49:13, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:49:28, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:49:43, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:49:58, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:50:13, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
