2020-04-06 19:03:23 ,945 INFO ,   OPPORTUNITY ,Bittrex      ,OKEX         ,XMR/ETH   ,0.34796942   ,0.15412331       ,0.346         ,0.54030928        ,0.569197%   ,0.400000% ,0.169197%
2020-04-06 19:03:43 ,045 INFO ,   OPPORTUNITY ,Bitfinex     ,OKEX         ,XMR/BTC   ,0.0080135    ,0.62394978       ,0.00785       ,0.25              ,2.082803%   ,0.350000% ,1.732803%
2020-04-06 19:03:54 ,633 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,XMR/BTC   ,0.008011     ,17.172           ,0.00785       ,17.155            ,2.050955%   ,0.410000% ,1.640955%
2020-04-06 19:04:26 ,068 INFO ,   OPPORTUNITY ,Kraken       ,Bittrex      ,BTC/EUR   ,6697.8       ,0.03483          ,6640.0        ,0.0033            ,0.870482%   ,0.510000% ,0.360482%
2020-04-06 19:05:44 ,604 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,XMR/BTC   ,0.008011     ,17.172           ,0.00785       ,17.13             ,2.050955%   ,0.410000% ,1.640955%
2020-04-06 19:06:25 ,199 INFO ,   OPPORTUNITY ,Poloniex     ,OKEX         ,XMR/BTC   ,0.00801018   ,9.493953         ,0.00785       ,18.71013144       ,2.040510%   ,0.240000% ,1.800510%
2020-04-06 19:07:28 ,920 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,BLOC/BTC  ,1.4e-07      ,7933478.25429235 ,3e-08         ,51130.94672499    ,366.666667% ,0.400000% ,366.266667%
2020-04-06 19:07:52 ,799 INFO ,   OPPORTUNITY ,Poloniex     ,OKEX         ,XMR/USDT  ,57.63577259  ,6.61183333       ,56.53         ,11.07928          ,1.956081%   ,0.240000% ,1.716081%
2020-04-06 19:08:53 ,890 INFO ,   OPPORTUNITY ,Poloniex     ,Binance      ,PAX/USDT  ,1.00132026   ,20.42406797      ,0.9982        ,37.8680542        ,0.312589%   ,0.190000% ,0.122589%
2020-04-06 19:09:14 ,810 INFO ,   OPPORTUNITY ,Bittrex      ,OKEX         ,HYC/BTC   ,1.8e-07      ,24954.12243339   ,1.75e-07      ,50000.0           ,2.857143%   ,0.400000% ,2.457143%
2020-04-06 19:09:19 ,265 INFO ,   OPPORTUNITY ,Bittrex      ,Binance      ,GTO/BTC   ,1.28e-06     ,390.6328125      ,6.7e-07       ,1983.01982594     ,91.044776%  ,0.350000% ,90.694776%
