2020-04-09 14:34:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.297e-05, 	51.18490603, 	7.255e-05, 	3.15654153, 	0.578911%, 	0.340000%, 	0.238911%
2020-04-09 14:34:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.297e-05, 	51.18490603, 	7.255e-05, 	3.15654153, 	0.578911%, 	0.340000%, 	0.238911%
2020-04-09 14:35:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.297e-05, 	51.18490603, 	7.255e-05, 	3.15654153, 	0.578911%, 	0.340000%, 	0.238911%
2020-04-09 14:35:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.298e-05, 	39.70113287, 	7.255e-05, 	3.15654153, 	0.592695%, 	0.340000%, 	0.252695%
2020-04-09 14:35:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.298e-05, 	39.70113287, 	7.255e-05, 	3.15654153, 	0.592695%, 	0.340000%, 	0.252695%
2020-04-09 14:35:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.298e-05, 	39.70113287, 	7.255e-05, 	3.15654153, 	0.592695%, 	0.340000%, 	0.252695%
2020-04-09 14:36:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.298e-05, 	39.70113287, 	7.255e-05, 	3.15654153, 	0.592695%, 	0.340000%, 	0.252695%
2020-04-09 14:36:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.298e-05, 	39.70113287, 	7.255e-05, 	3.15654153, 	0.592695%, 	0.340000%, 	0.252695%
2020-04-09 14:36:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.299e-05, 	23.87861665, 	7.255e-05, 	3.15654153, 	0.606478%, 	0.340000%, 	0.266478%
2020-04-09 14:36:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.298e-05, 	39.70113287, 	7.255e-05, 	1.77680342, 	0.592695%, 	0.340000%, 	0.252695%
2020-04-09 14:37:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.3e-05, 	25.01633492, 	7.255e-05, 	1.77680342, 	0.620262%, 	0.340000%, 	0.280262%
2020-04-09 14:37:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.3e-05, 	25.77609143, 	7.255e-05, 	1.77680342, 	0.620262%, 	0.340000%, 	0.280262%
2020-04-09 14:37:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.3e-05, 	22.06303531, 	7.255e-05, 	1.77680342, 	0.620262%, 	0.340000%, 	0.280262%
2020-04-09 14:37:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.3e-05, 	23.27277186, 	7.255e-05, 	1.77680342, 	0.620262%, 	0.340000%, 	0.280262%
2020-04-09 14:38:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.3e-05, 	23.27277186, 	7.255e-05, 	1.77680342, 	0.620262%, 	0.340000%, 	0.280262%
2020-04-09 14:38:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.3e-05, 	24.63684022, 	7.255e-05, 	1.77680342, 	0.620262%, 	0.340000%, 	0.280262%
