2020-04-10 01:12:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900117, 	3846.14728867, 	0.2827, 	2.708, 	2.586381%, 	0.400000%, 	2.186381%
2020-04-10 01:12:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001186, 	3846.14550265, 	0.2827, 	2.708, 	2.586438%, 	0.400000%, 	2.186438%
2020-04-10 01:12:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001199, 	3846.14405151, 	0.2827, 	2.708, 	2.586484%, 	0.400000%, 	2.186484%
2020-04-10 01:13:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001199, 	3846.14405151, 	0.2827, 	2.708, 	2.586484%, 	0.400000%, 	2.186484%
2020-04-10 01:13:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001199, 	3846.14405151, 	0.2827, 	2.708, 	2.586484%, 	0.400000%, 	2.186484%
2020-04-10 01:13:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001199, 	3846.14405151, 	0.2827, 	2.708, 	2.586484%, 	0.400000%, 	2.186484%
2020-04-10 01:13:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001199, 	3846.14405151, 	0.2827, 	2.708, 	2.586484%, 	0.400000%, 	2.186484%
2020-04-10 01:14:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001223, 	3770.43074545, 	0.2827, 	2.708, 	2.586569%, 	0.400000%, 	2.186569%
2020-04-10 01:14:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001223, 	3770.43074545, 	0.2827, 	2.708, 	2.586569%, 	0.400000%, 	2.186569%
2020-04-10 01:14:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001248, 	3770.4279548, 	0.2827, 	2.708, 	2.586657%, 	0.400000%, 	2.186657%
2020-04-10 01:14:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001248, 	3770.4279548, 	0.2827, 	2.708, 	2.586657%, 	0.400000%, 	2.186657%
2020-04-10 01:15:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001264, 	3770.42616878, 	0.2827, 	2.708, 	2.586714%, 	0.400000%, 	2.186714%
2020-04-10 01:15:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001264, 	3770.42616878, 	0.2827, 	2.708, 	2.586714%, 	0.400000%, 	2.186714%
2020-04-10 01:15:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001275, 	3729.56130724, 	0.2827, 	2.708, 	2.586753%, 	0.400000%, 	2.186753%
2020-04-10 01:15:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001296, 	3729.55896309, 	0.2827, 	2.708, 	2.586827%, 	0.400000%, 	2.186827%
2020-04-10 01:16:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001296, 	3729.55896309, 	0.2827, 	2.708, 	2.586827%, 	0.400000%, 	2.186827%
2020-04-10 01:16:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001315, 	3729.5568422, 	0.2827, 	2.708, 	2.586894%, 	0.400000%, 	2.186894%
2020-04-10 01:16:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001315, 	3729.5568422, 	0.2827, 	2.708, 	2.586894%, 	0.400000%, 	2.186894%
2020-04-10 01:16:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001328, 	3729.55539107, 	0.2827, 	2.708, 	2.586940%, 	0.400000%, 	2.186940%
2020-04-10 01:17:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001354, 	3729.5524888, 	0.2827, 	2.708, 	2.587032%, 	0.400000%, 	2.187032%
2020-04-10 01:17:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900138, 	3729.54958654, 	0.2827, 	2.708, 	2.587124%, 	0.400000%, 	2.187124%
2020-04-10 01:17:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900138, 	3729.54958654, 	0.2827, 	2.708, 	2.587124%, 	0.400000%, 	2.187124%
2020-04-10 01:17:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001406, 	3690.18485765, 	0.2827, 	2.708, 	2.587216%, 	0.400000%, 	2.187216%
2020-04-10 01:18:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001429, 	3690.18229026, 	0.2823, 	1422.205, 	2.732657%, 	0.400000%, 	2.332657%
2020-04-10 01:18:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001459, 	3690.1789415, 	0.2827, 	2.708, 	2.587404%, 	0.400000%, 	2.187404%
2020-04-10 01:18:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001459, 	3690.1789415, 	0.2827, 	2.708, 	2.587404%, 	0.400000%, 	2.187404%
2020-04-10 01:18:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001459, 	3690.1789415, 	0.2827, 	2.708, 	2.587404%, 	0.400000%, 	2.187404%
2020-04-10 01:19:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001482, 	3637.08264327, 	0.2827, 	2.708, 	2.587485%, 	0.400000%, 	2.187485%
2020-04-10 01:19:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001482, 	3637.08264327, 	0.2827, 	2.708, 	2.587485%, 	0.400000%, 	2.187485%
2020-04-10 01:19:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001482, 	3637.08264327, 	0.2827, 	2.708, 	2.587485%, 	0.400000%, 	2.187485%
2020-04-10 01:19:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001482, 	3637.08264327, 	0.2827, 	2.708, 	2.587485%, 	0.400000%, 	2.187485%
2020-04-10 01:20:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001502, 	3495.16876197, 	0.2827, 	2.708, 	2.587556%, 	0.400000%, 	2.187556%
2020-04-10 01:20:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001502, 	3495.16876197, 	0.2827, 	2.708, 	2.587556%, 	0.400000%, 	2.187556%
