2020-04-08 09:37:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007819, 	8.173, 	0.007584, 	196.291, 	3.098629%, 	0.410000%, 	2.688629%
2020-04-08 09:37:24, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	8.173, 	0.007582, 	204.899, 	3.086257%, 	0.410000%, 	2.676257%
2020-04-08 09:37:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	8.173, 	0.007582, 	17.215, 	3.086257%, 	0.410000%, 	2.676257%
2020-04-08 09:37:54, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	0.921, 	0.007582, 	17.21, 	3.086257%, 	0.410000%, 	2.676257%
2020-04-08 09:38:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	0.921, 	0.007581, 	204.906, 	3.099855%, 	0.410000%, 	2.689855%
2020-04-08 09:38:24, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	8.173, 	0.007581, 	8.603, 	3.099855%, 	0.410000%, 	2.689855%
2020-04-08 09:38:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007826, 	0.921, 	0.007581, 	204.904, 	3.231764%, 	0.410000%, 	2.821764%
2020-04-08 09:38:54, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007826, 	8.173, 	0.00758, 	213.506, 	3.245383%, 	0.410000%, 	2.835383%
2020-04-08 09:39:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007826, 	0.921, 	0.00758, 	213.506, 	3.245383%, 	0.410000%, 	2.835383%
2020-04-08 09:39:24, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007824, 	0.921, 	0.00758, 	226.254, 	3.218997%, 	0.410000%, 	2.808997%
2020-04-08 09:39:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007824, 	0.921, 	0.007579, 	226.254, 	3.232616%, 	0.410000%, 	2.822616%
2020-04-08 09:39:54, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007823, 	0.921, 	0.007579, 	235.334, 	3.219422%, 	0.410000%, 	2.809422%
2020-04-08 09:40:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007823, 	0.921, 	0.007578, 	226.254, 	3.233043%, 	0.410000%, 	2.823043%
2020-04-08 09:40:24, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.00782, 	0.921, 	0.007578, 	235.334, 	3.193455%, 	0.410000%, 	2.783455%
2020-04-08 09:40:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007819, 	8.173, 	0.007578, 	241.034, 	3.180259%, 	0.410000%, 	2.770259%
2020-04-08 09:40:54, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007819, 	8.173, 	0.007578, 	234.034, 	3.180259%, 	0.410000%, 	2.770259%
2020-04-08 09:41:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007819, 	8.173, 	0.007577, 	234.034, 	3.193876%, 	0.410000%, 	2.783876%
2020-04-08 09:41:24, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007819, 	0.921, 	0.007577, 	241.034, 	3.193876%, 	0.410000%, 	2.783876%
2020-04-08 09:41:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007819, 	0.921, 	0.007577, 	241.034, 	3.193876%, 	0.410000%, 	2.783876%
2020-04-08 09:41:54, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007819, 	0.921, 	0.007576, 	241.034, 	3.207497%, 	0.410000%, 	2.797497%
2020-04-08 09:42:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	7.0, 	0.007574, 	9.08, 	3.195141%, 	0.410000%, 	2.785141%
2020-04-08 09:42:24, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	7.0, 	0.007574, 	46.178, 	3.195141%, 	0.410000%, 	2.785141%
2020-04-08 09:42:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	7.0, 	0.007571, 	46.178, 	3.236032%, 	0.410000%, 	2.826032%
2020-04-08 09:42:54, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	3.948, 	0.007571, 	54.78, 	3.236032%, 	0.410000%, 	2.826032%
2020-04-08 09:43:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	3.749, 	0.00757, 	187.534, 	3.249670%, 	0.410000%, 	2.839670%
2020-04-08 09:43:24, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	3.749, 	0.007568, 	17.329, 	3.276956%, 	0.410000%, 	2.866956%
2020-04-08 09:43:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	3.749, 	0.007568, 	24.329, 	3.276956%, 	0.410000%, 	2.866956%
2020-04-08 09:43:54, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	3.749, 	0.007568, 	24.343, 	3.276956%, 	0.410000%, 	2.866956%
2020-04-08 09:44:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	3.749, 	0.007568, 	24.343, 	3.276956%, 	0.410000%, 	2.866956%
2020-04-08 09:44:24, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	3.749, 	0.007567, 	24.343, 	3.290604%, 	0.410000%, 	2.880604%
2020-04-08 09:44:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	3.749, 	0.007567, 	24.343, 	3.290604%, 	0.410000%, 	2.880604%
2020-04-08 09:44:54, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	3.749, 	0.007567, 	24.343, 	3.290604%, 	0.410000%, 	2.880604%
2020-04-08 09:45:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	3.749, 	0.007566, 	24.343, 	3.304256%, 	0.410000%, 	2.894256%
