2020-04-10 02:29:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:29:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:30:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:30:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:30:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:30:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:31:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:31:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:31:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:31:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:32:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:32:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:32:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:32:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:33:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:33:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	0.33219278, 	2.334e-06, 	1500.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:33:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	0.33219278, 	2.335e-06, 	29100.0, 	0.214133%, 	0.240000%, 	-0.025867%
2020-04-10 10:02:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.319e-06, 	400.0, 	1.768003%, 	0.240000%, 	1.528003%
2020-04-10 10:03:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.319e-06, 	400.0, 	1.768003%, 	0.240000%, 	1.528003%
2020-04-10 10:03:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.319e-06, 	400.0, 	1.768003%, 	0.240000%, 	1.528003%
2020-04-10 10:03:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.319e-06, 	400.0, 	1.768003%, 	0.240000%, 	1.528003%
2020-04-10 10:03:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.316e-06, 	24000.0, 	1.899827%, 	0.240000%, 	1.659827%
2020-04-10 10:04:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.316e-06, 	24000.0, 	1.899827%, 	0.240000%, 	1.659827%
2020-04-10 10:04:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.316e-06, 	24000.0, 	1.899827%, 	0.240000%, 	1.659827%
2020-04-10 10:04:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.316e-06, 	24000.0, 	1.899827%, 	0.240000%, 	1.659827%
2020-04-10 10:04:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.316e-06, 	24000.0, 	1.899827%, 	0.240000%, 	1.659827%
2020-04-10 10:05:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.316e-06, 	24000.0, 	1.899827%, 	0.240000%, 	1.659827%
2020-04-10 10:05:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.315e-06, 	24000.0, 	1.943844%, 	0.240000%, 	1.703844%
2020-04-10 10:05:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.315e-06, 	24000.0, 	1.943844%, 	0.240000%, 	1.703844%
2020-04-10 10:05:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.314e-06, 	25106.5, 	1.987900%, 	0.240000%, 	1.747900%
2020-04-10 10:06:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.313e-06, 	24000.0, 	2.031993%, 	0.240000%, 	1.791993%
2020-04-10 10:06:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.313e-06, 	24000.0, 	2.031993%, 	0.240000%, 	1.791993%
2020-04-10 10:06:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.313e-06, 	24000.0, 	2.031993%, 	0.240000%, 	1.791993%
2020-04-10 10:06:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.312e-06, 	24000.0, 	2.076125%, 	0.240000%, 	1.836125%
