2020-04-08 18:55:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079031, 	100.23, 	0.719971%, 	0.510000%, 	0.209971%
2020-04-08 18:55:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079031, 	100.23, 	0.846503%, 	0.510000%, 	0.336503%
2020-04-08 18:55:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	38.673, 	0.00079031, 	100.23, 	0.719971%, 	0.510000%, 	0.209971%
2020-04-08 18:56:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079031, 	100.23, 	0.719971%, 	0.510000%, 	0.209971%
2020-04-08 18:56:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079031, 	100.23, 	0.719971%, 	0.510000%, 	0.209971%
2020-04-08 18:56:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079031, 	100.23, 	0.719971%, 	0.510000%, 	0.209971%
2020-04-08 18:56:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	38.673, 	0.00079031, 	100.23, 	0.719971%, 	0.510000%, 	0.209971%
2020-04-08 18:57:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079031, 	100.23, 	0.719971%, 	0.510000%, 	0.209971%
2020-04-08 18:57:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079031, 	100.23, 	0.846503%, 	0.510000%, 	0.336503%
2020-04-08 18:57:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079031, 	100.23, 	0.846503%, 	0.510000%, 	0.336503%
2020-04-08 18:57:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079031, 	100.23, 	0.719971%, 	0.510000%, 	0.209971%
2020-04-08 18:58:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079141, 	971.45332, 	0.579978%, 	0.510000%, 	0.069978%
2020-04-08 18:58:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	25.0, 	0.00079137, 	100.436, 	0.711424%, 	0.510000%, 	0.201424%
2020-04-08 18:58:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	22.752, 	0.00079137, 	100.436, 	0.711424%, 	0.510000%, 	0.201424%
2020-04-08 18:58:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	22.752, 	0.00079137, 	100.436, 	0.711424%, 	0.510000%, 	0.201424%
2020-04-08 18:59:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	81.435, 	0.00079133, 	100.339, 	0.716515%, 	0.510000%, 	0.206515%
2020-04-08 18:59:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	79.484, 	0.00079133, 	100.339, 	0.716515%, 	0.510000%, 	0.206515%
2020-04-08 18:59:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	79.484, 	0.00079123, 	570.36781473, 	0.729244%, 	0.510000%, 	0.219244%
2020-04-08 18:59:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	80.184, 	0.00079104, 	100.443, 	0.753439%, 	0.510000%, 	0.243439%
2020-04-08 19:00:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	80.184, 	0.00079083, 	530.411021, 	0.780193%, 	0.510000%, 	0.270193%
2020-04-08 19:00:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079064, 	100.442, 	0.677932%, 	0.510000%, 	0.167932%
2020-04-08 19:00:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079059, 	498.512211, 	0.684299%, 	0.510000%, 	0.174299%
2020-04-08 19:00:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079049, 	592.358419, 	0.697036%, 	0.510000%, 	0.187036%
2020-04-08 19:01:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079042, 	100.304, 	0.705954%, 	0.510000%, 	0.195954%
2020-04-08 19:01:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079042, 	100.304, 	0.705954%, 	0.510000%, 	0.195954%
2020-04-08 19:01:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079038, 	100.342, 	0.837572%, 	0.510000%, 	0.327572%
2020-04-08 19:01:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079038, 	100.342, 	0.837572%, 	0.510000%, 	0.327572%
2020-04-08 19:02:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079038, 	100.342, 	0.837572%, 	0.510000%, 	0.327572%
2020-04-08 19:02:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079038, 	100.342, 	0.711050%, 	0.510000%, 	0.201050%
2020-04-08 19:02:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079035, 	768.18445782, 	0.714873%, 	0.510000%, 	0.204873%
2020-04-08 19:02:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079034, 	100.571, 	0.716147%, 	0.510000%, 	0.206147%
2020-04-08 19:03:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079034, 	100.571, 	0.842675%, 	0.510000%, 	0.332675%
2020-04-08 19:03:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079034, 	100.571, 	0.716147%, 	0.510000%, 	0.206147%
