2020-04-07 23:19:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413057, 	40.1337039, 	54.44, 	96.601304, 	1.770997%, 	0.400000%, 	1.370997%
2020-04-07 23:20:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413067, 	37.4007803, 	54.44, 	6.0, 	1.770997%, 	0.400000%, 	1.370997%
2020-04-07 23:20:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413075, 	41.2747765, 	54.44, 	96.502932, 	1.770997%, 	0.400000%, 	1.370997%
2020-04-07 23:21:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413081, 	56.879557, 	54.44, 	6.0, 	1.770997%, 	0.400000%, 	1.370997%
2020-04-07 23:21:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413097, 	66.5040599, 	54.44, 	4.501, 	1.770997%, 	0.400000%, 	1.370997%
2020-04-07 23:22:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413112, 	4.501, 	54.44, 	3.63169119, 	1.770998%, 	0.400000%, 	1.370998%
2020-04-07 23:22:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413117, 	81.5337485, 	54.44, 	97.486652, 	1.770998%, 	0.400000%, 	1.370998%
2020-04-07 23:23:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413134, 	96.109444, 	54.48, 	96.89642, 	1.696276%, 	0.400000%, 	1.296276%
2020-04-07 23:23:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.4041314, 	156.502932, 	54.48, 	97.486652, 	1.696276%, 	0.400000%, 	1.296276%
2020-04-07 23:24:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413156, 	102.84143176, 	54.48, 	96.306188, 	1.696277%, 	0.400000%, 	1.296277%
2020-04-07 23:24:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413174, 	102.15282776, 	54.48, 	1.8, 	1.696277%, 	0.400000%, 	1.296277%
2020-04-07 23:25:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.4041318, 	103.03817576, 	54.48, 	22.91357864, 	1.696277%, 	0.400000%, 	1.296277%
2020-04-07 23:25:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413201, 	4.498, 	54.48, 	21.88852324, 	1.696278%, 	0.400000%, 	1.296278%
2020-04-07 23:26:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413231, 	2.08376627, 	54.48, 	10.95542654, 	1.696278%, 	0.400000%, 	1.296278%
