2020-04-08 18:50:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000798, 	84.61, 	0.00079178, 	178.52432, 	0.785572%, 	0.350000%, 	0.435572%
2020-04-08 18:51:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000798, 	84.61, 	0.00079178, 	98.52432, 	0.785572%, 	0.350000%, 	0.435572%
2020-04-08 18:51:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000798, 	84.61, 	0.00079178, 	98.52432, 	0.785572%, 	0.350000%, 	0.435572%
2020-04-08 18:51:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000798, 	84.31, 	0.0007916, 	132.56807, 	0.808489%, 	0.350000%, 	0.458489%
2020-04-08 18:51:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000797, 	88.884, 	0.00079144, 	80.0, 	0.702517%, 	0.350000%, 	0.352517%
2020-04-08 18:52:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000797, 	88.284, 	0.00079119, 	132.56807, 	0.734337%, 	0.350000%, 	0.384337%
2020-04-08 18:52:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000797, 	81.184, 	0.00079104, 	96.80679, 	0.753439%, 	0.350000%, 	0.403439%
2020-04-08 18:52:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000797, 	81.184, 	0.0007909, 	229.60859, 	0.771273%, 	0.350000%, 	0.421273%
2020-04-08 18:52:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000797, 	76.306, 	0.0007909, 	229.60859, 	0.771273%, 	0.350000%, 	0.421273%
2020-04-08 18:53:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000797, 	29.3, 	0.0007909, 	229.60859, 	0.771273%, 	0.350000%, 	0.421273%
