2020-04-09 18:37:24, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	152.44262994, 	0.001746, 	3.338, 	0.254296%, 	0.190000%, 	0.064296%
2020-04-09 18:37:39, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	152.44262994, 	0.001746, 	3.338, 	0.254296%, 	0.190000%, 	0.064296%
2020-04-09 18:37:54, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	152.44262994, 	0.001747, 	2.36, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:38:09, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	152.44262994, 	0.001747, 	2.36, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:38:24, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	152.44262994, 	0.001747, 	2.36, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:38:39, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	152.44262994, 	0.001747, 	2.36, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:38:54, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	152.44262994, 	0.001747, 	2.36, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:39:09, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	152.44262994, 	0.001746, 	4.006, 	0.254296%, 	0.190000%, 	0.064296%
2020-04-09 18:39:24, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	152.44262994, 	0.001746, 	4.006, 	0.254296%, 	0.190000%, 	0.064296%
2020-04-09 18:39:39, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	152.44262994, 	0.001746, 	4.006, 	0.254296%, 	0.190000%, 	0.064296%
2020-04-09 18:39:54, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001746, 	4.006, 	0.254296%, 	0.190000%, 	0.064296%
2020-04-09 18:40:09, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001747, 	2.36, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:40:24, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001747, 	2.36, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:40:39, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001747, 	2.293, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:40:54, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001747, 	2.293, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:41:09, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001746, 	3.347, 	0.254296%, 	0.190000%, 	0.064296%
2020-04-09 18:41:24, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001746, 	3.347, 	0.254296%, 	0.190000%, 	0.064296%
2020-04-09 18:41:39, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001746, 	3.347, 	0.254296%, 	0.190000%, 	0.064296%
2020-04-09 18:41:54, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001746, 	3.347, 	0.254296%, 	0.190000%, 	0.064296%
2020-04-09 18:42:09, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001747, 	2.293, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:42:24, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001747, 	2.293, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:42:39, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001747, 	2.293, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:42:54, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001747, 	2.293, 	0.196909%, 	0.190000%, 	0.006909%
2020-04-09 18:43:09, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001746, 	3.953, 	0.254296%, 	0.190000%, 	0.064296%
2020-04-09 18:43:24, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00175044, 	148.31250447, 	0.001746, 	3.953, 	0.254296%, 	0.190000%, 	0.064296%
