2020-04-09 01:04:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.912e-05, 	289.0, 	3.893e-05, 	0.99264676, 	0.488055%, 	0.190000%, 	0.298055%
2020-04-09 01:04:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.912e-05, 	289.0, 	3.893e-05, 	0.99264676, 	0.488055%, 	0.190000%, 	0.298055%
2020-04-09 01:04:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	252.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:05:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	249.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:05:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.915e-05, 	288.0, 	3.893e-05, 	0.99264676, 	0.565117%, 	0.190000%, 	0.375117%
2020-04-09 01:05:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.915e-05, 	288.0, 	3.893e-05, 	0.99264676, 	0.565117%, 	0.190000%, 	0.375117%
2020-04-09 01:05:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.915e-05, 	288.0, 	3.893e-05, 	0.99264676, 	0.565117%, 	0.190000%, 	0.375117%
2020-04-09 01:06:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.915e-05, 	288.0, 	3.893e-05, 	0.99264676, 	0.565117%, 	0.190000%, 	0.375117%
2020-04-09 01:06:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	249.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:06:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	249.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:06:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	249.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:07:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	249.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:07:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	249.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:07:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	249.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:07:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	249.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:08:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	232.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:08:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.914e-05, 	279.0, 	3.893e-05, 	0.99264676, 	0.539430%, 	0.190000%, 	0.349430%
2020-04-09 01:08:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	232.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:08:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	162.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:09:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.913e-05, 	280.0, 	3.893e-05, 	0.99264676, 	0.513743%, 	0.190000%, 	0.323743%
2020-04-09 01:09:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.913e-05, 	280.0, 	3.893e-05, 	0.99264676, 	0.513743%, 	0.190000%, 	0.323743%
