2020-04-10 16:34:29, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.646e-05, 	1.684368, 	6.628e-05, 	122.0, 	0.271575%, 	0.190000%, 	0.081575%
2020-04-10 16:34:44, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.646e-05, 	1.684368, 	6.628e-05, 	617.0, 	0.271575%, 	0.190000%, 	0.081575%
2020-04-10 16:34:59, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.646e-05, 	1.684368, 	6.616e-05, 	665.0, 	0.453446%, 	0.190000%, 	0.263446%
2020-04-10 16:35:14, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.646e-05, 	1.684368, 	6.613e-05, 	537.0, 	0.499017%, 	0.190000%, 	0.309017%
2020-04-10 16:35:29, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.646e-05, 	1.684368, 	6.614e-05, 	626.0, 	0.483822%, 	0.190000%, 	0.293822%
2020-04-10 16:35:44, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.646e-05, 	1.684368, 	6.608e-05, 	300.0, 	0.575061%, 	0.190000%, 	0.385061%
2020-04-10 16:35:59, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.646e-05, 	1.684368, 	6.607e-05, 	715.0, 	0.590283%, 	0.190000%, 	0.400283%
2020-04-10 16:36:14, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.646e-05, 	1.684368, 	6.607e-05, 	715.0, 	0.590283%, 	0.190000%, 	0.400283%
2020-04-10 16:36:29, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.646e-05, 	1.684368, 	6.603e-05, 	533.0, 	0.651219%, 	0.190000%, 	0.461219%
2020-04-10 16:36:44, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.646e-05, 	1.684368, 	6.607e-05, 	300.0, 	0.590283%, 	0.190000%, 	0.400283%
2020-04-10 16:36:59, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.646e-05, 	1.684368, 	6.605e-05, 	404.0, 	0.620742%, 	0.190000%, 	0.430742%
2020-04-10 16:37:14, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.634e-05, 	1.670832, 	6.605e-05, 	399.0, 	0.439061%, 	0.190000%, 	0.249061%
2020-04-10 16:37:29, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.634e-05, 	1.670832, 	6.626e-05, 	300.0, 	0.120736%, 	0.190000%, 	-0.069264%
2020-04-11 13:58:46, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.033e-05, 	147.0, 	0.227499%, 	0.190000%, 	0.037499%
2020-04-11 13:59:01, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.033e-05, 	147.0, 	0.227499%, 	0.190000%, 	0.037499%
2020-04-11 13:59:16, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.033e-05, 	147.0, 	0.227499%, 	0.190000%, 	0.037499%
2020-04-11 13:59:31, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.033e-05, 	147.0, 	0.227499%, 	0.190000%, 	0.037499%
2020-04-11 13:59:46, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.033e-05, 	147.0, 	0.227499%, 	0.190000%, 	0.037499%
2020-04-11 14:00:01, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.033e-05, 	147.0, 	0.227499%, 	0.190000%, 	0.037499%
2020-04-11 14:00:16, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.033e-05, 	147.0, 	0.227499%, 	0.190000%, 	0.037499%
2020-04-11 14:00:31, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.036e-05, 	342.0, 	0.184764%, 	0.190000%, 	-0.005236%
2020-04-11 14:19:24, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.006e-05, 	300.0, 	0.613760%, 	0.190000%, 	0.423760%
2020-04-11 14:19:39, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	300.0, 	0.642490%, 	0.190000%, 	0.452490%
2020-04-11 14:19:54, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	290.0, 	0.642490%, 	0.190000%, 	0.452490%
2020-04-11 14:20:09, 	Poloniex    , 	Binance     , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.001e-05, 	420.0, 	0.685616%, 	0.190000%, 	0.495616%
