2020-04-08 07:26:57, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-08 07:27:27, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-08 07:27:57, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-08 07:28:27, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-08 07:28:57, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-08 07:29:27, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-08 07:29:57, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.71e-07, 	50000.0, 	5.263158%, 	0.400000%, 	4.863158%
2020-04-08 07:30:27, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.7e-07, 	50000.0, 	5.882353%, 	0.400000%, 	5.482353%
2020-04-08 07:30:57, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.7e-07, 	50000.0, 	5.882353%, 	0.400000%, 	5.482353%
2020-04-08 07:31:27, 	Bittrex     , 	OKEX        , 	HYC/BTC, 	1.8e-07, 	24954.12243339, 	1.7e-07, 	50000.0, 	5.882353%, 	0.400000%, 	5.482353%
