2020-04-09 00:17:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	2473733.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:18:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.71e-05, 	808698.0, 	1.033295%, 	0.190000%, 	0.843295%
2020-04-09 00:18:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:18:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:18:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	553595.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-09 00:19:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	137017.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-09 00:19:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	137017.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-09 00:19:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:19:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:20:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:20:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:20:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:20:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	200000.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:21:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	200000.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:21:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	200000.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:21:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	200000.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:21:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	200000.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:22:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	200000.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:22:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	200000.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:22:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	200000.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:22:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:23:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:23:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:23:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	701842.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-09 00:23:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:24:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:24:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:24:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:24:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:25:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	379866.0, 	0.801833%, 	0.190000%, 	0.611833%
