2020-04-07 21:44:18, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.533e-06, 	8119.58944779, 	3e-06, 	600.0, 	84.433333%, 	0.400000%, 	84.033333%
2020-04-07 21:44:48, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.534e-06, 	8119.58944779, 	3e-06, 	600.0, 	84.466667%, 	0.400000%, 	84.066667%
2020-04-07 21:45:18, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.538e-06, 	7016.79302515, 	3e-06, 	600.0, 	84.600000%, 	0.400000%, 	84.200000%
2020-04-07 21:45:48, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.549e-06, 	1444.0433213, 	3e-06, 	600.0, 	84.966667%, 	0.400000%, 	84.566667%
2020-04-07 21:46:18, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.538e-06, 	1444.0433213, 	3e-06, 	600.0, 	84.600000%, 	0.400000%, 	84.200000%
2020-04-07 21:46:48, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.535e-06, 	1444.0433213, 	3e-06, 	600.0, 	84.500000%, 	0.400000%, 	84.100000%
2020-04-07 21:47:18, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.541e-06, 	1000.0, 	3e-06, 	600.0, 	84.700000%, 	0.400000%, 	84.300000%
2020-04-07 21:47:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.537e-06, 	1000.0, 	3e-06, 	600.0, 	84.566667%, 	0.400000%, 	84.166667%
2020-04-07 21:48:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.545e-06, 	1000.0, 	3e-06, 	600.0, 	84.833333%, 	0.400000%, 	84.433333%
2020-04-07 21:48:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.569e-06, 	1000.0, 	3e-06, 	600.0, 	85.633333%, 	0.400000%, 	85.233333%
2020-04-07 21:49:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.576e-06, 	1000.0, 	3e-06, 	600.0, 	85.866667%, 	0.400000%, 	85.466667%
2020-04-07 21:49:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.576e-06, 	1000.0, 	3e-06, 	600.0, 	85.866667%, 	0.400000%, 	85.466667%
2020-04-07 21:50:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.578e-06, 	1000.0, 	3e-06, 	600.0, 	85.933333%, 	0.400000%, 	85.533333%
2020-04-07 21:50:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.58e-06, 	1374.57044674, 	3e-06, 	600.0, 	86.000000%, 	0.400000%, 	85.600000%
2020-04-07 21:51:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.582e-06, 	1374.57044674, 	3e-06, 	600.0, 	86.066667%, 	0.400000%, 	85.666667%
2020-04-07 21:51:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.583e-06, 	1374.57044674, 	3e-06, 	600.0, 	86.100000%, 	0.400000%, 	85.700000%
2020-04-07 21:52:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.584e-06, 	46.32567511, 	3e-06, 	600.0, 	86.133333%, 	0.400000%, 	85.733333%
2020-04-07 21:52:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.586e-06, 	46.32567511, 	3e-06, 	600.0, 	86.200000%, 	0.400000%, 	85.800000%
2020-04-07 21:53:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.582e-06, 	46.32567511, 	3e-06, 	600.0, 	86.066667%, 	0.400000%, 	85.666667%
2020-04-07 21:53:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.588e-06, 	46.32567511, 	3e-06, 	600.0, 	86.266667%, 	0.400000%, 	85.866667%
2020-04-07 21:54:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.584e-06, 	46.32567511, 	3e-06, 	600.0, 	86.133333%, 	0.400000%, 	85.733333%
2020-04-07 21:54:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.593e-06, 	46.32567511, 	3e-06, 	600.0, 	86.433333%, 	0.400000%, 	86.033333%
2020-04-07 21:55:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.582e-06, 	1000.0, 	3e-06, 	600.0, 	86.066667%, 	0.400000%, 	85.666667%
2020-04-07 21:55:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.588e-06, 	1000.0, 	3e-06, 	600.0, 	86.266667%, 	0.400000%, 	85.866667%
2020-04-07 21:56:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.587e-06, 	1000.0, 	3e-06, 	600.0, 	86.233333%, 	0.400000%, 	85.833333%
2020-04-07 21:56:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.585e-06, 	1000.0, 	3e-06, 	600.0, 	86.166667%, 	0.400000%, 	85.766667%
2020-04-07 21:57:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.588e-06, 	1000.0, 	3e-06, 	41684.21687287, 	86.266667%, 	0.400000%, 	85.866667%
2020-04-07 21:57:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.588e-06, 	1000.0, 	2.99e-06, 	1374.57044674, 	86.889632%, 	0.400000%, 	86.489632%
2020-04-07 21:58:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.589e-06, 	1.0, 	3e-06, 	41684.21687287, 	86.300000%, 	0.400000%, 	85.900000%
2020-04-07 21:58:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.589e-06, 	1.0, 	2.99e-06, 	1374.57044674, 	86.923077%, 	0.400000%, 	86.523077%
2020-04-07 21:59:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.589e-06, 	1.0, 	3e-06, 	41684.21687287, 	86.300000%, 	0.400000%, 	85.900000%
2020-04-07 21:59:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.59e-06, 	1.0, 	2.99e-06, 	1374.57044674, 	86.956522%, 	0.400000%, 	86.556522%
2020-04-07 22:00:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.592e-06, 	1.0, 	2.99e-06, 	1374.57044674, 	87.023411%, 	0.400000%, 	86.623411%
2020-04-07 22:00:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.598e-06, 	1.0, 	3e-06, 	41684.21687287, 	86.600000%, 	0.400000%, 	86.200000%
2020-04-07 22:01:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.565e-06, 	1.0, 	2.99e-06, 	1374.57044674, 	86.120401%, 	0.400000%, 	85.720401%
2020-04-07 22:01:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.567e-06, 	1.0, 	3e-06, 	41683.73509485, 	85.566667%, 	0.400000%, 	85.166667%
2020-04-07 22:02:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.57e-06, 	1.0, 	2.98e-06, 	1374.57044674, 	86.912752%, 	0.400000%, 	86.512752%
2020-04-07 22:02:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.563e-06, 	1.0, 	2.98e-06, 	1374.57044674, 	86.677852%, 	0.400000%, 	86.277852%
2020-04-07 22:03:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.565e-06, 	1.0, 	2.98e-06, 	1374.57044674, 	86.744966%, 	0.400000%, 	86.344966%
2020-04-07 22:03:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.565e-06, 	1.0, 	2.98e-06, 	1374.57044674, 	86.744966%, 	0.400000%, 	86.344966%
2020-04-07 22:04:19, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.565e-06, 	1.0, 	2.98e-06, 	1374.57044674, 	86.744966%, 	0.400000%, 	86.344966%
2020-04-07 22:04:49, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.561e-06, 	1.0, 	2.98e-06, 	1374.57044674, 	86.610738%, 	0.400000%, 	86.210738%
