2020-04-09 14:55:54, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:56:09, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:56:24, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:56:39, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:56:54, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:57:09, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:57:24, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:57:39, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	5793.789, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:57:54, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:58:09, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:58:24, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:58:39, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:58:54, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:59:10, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:59:25, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:59:40, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:59:55, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 15:00:10, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	793.0, 	1.141598%, 	0.460000%, 	0.681598%
2020-04-09 15:00:25, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	793.0, 	1.141598%, 	0.460000%, 	0.681598%
2020-04-09 15:00:40, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	793.0, 	1.141598%, 	0.460000%, 	0.681598%
2020-04-09 15:00:55, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	793.0, 	1.141598%, 	0.460000%, 	0.681598%
2020-04-09 15:01:10, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	793.0, 	1.141598%, 	0.460000%, 	0.681598%
