2020-04-11 16:12:12, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	3588.6135, 	1.763e-05, 	67.0, 	3.233125%, 	0.250000%, 	2.983125%
2020-04-11 16:12:27, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	3588.6135, 	1.765e-05, 	544.0, 	3.116147%, 	0.250000%, 	2.866147%
2020-04-11 16:12:42, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	3588.6135, 	1.763e-05, 	1391.0, 	3.233125%, 	0.250000%, 	2.983125%
2020-04-11 16:12:57, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	3588.6135, 	1.759e-05, 	1391.0, 	3.467879%, 	0.250000%, 	3.217879%
2020-04-11 16:13:12, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	3588.6135, 	1.759e-05, 	1895.0, 	3.467879%, 	0.250000%, 	3.217879%
2020-04-11 16:13:27, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	3588.6135, 	1.75e-05, 	5239.0, 	4.000000%, 	0.250000%, 	3.750000%
2020-04-11 16:13:42, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	3053.9544, 	1.75e-05, 	5233.0, 	4.000000%, 	0.250000%, 	3.750000%
2020-04-11 16:13:57, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	2610.748, 	1.748e-05, 	116.0, 	4.118993%, 	0.250000%, 	3.868993%
2020-04-11 16:14:12, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	2610.748, 	1.748e-05, 	116.0, 	4.118993%, 	0.250000%, 	3.868993%
2020-04-11 16:14:27, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	2610.748, 	1.76e-05, 	856.0, 	3.409091%, 	0.250000%, 	3.159091%
2020-04-11 16:14:42, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1712.2604, 	1.76e-05, 	856.0, 	1.136364%, 	0.250000%, 	0.886364%
2020-04-11 16:14:57, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1712.2604, 	1.76e-05, 	856.0, 	1.136364%, 	0.250000%, 	0.886364%
2020-04-11 16:15:12, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1712.2604, 	1.761e-05, 	1089.0, 	1.078932%, 	0.250000%, 	0.828932%
2020-04-11 16:15:27, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1712.2604, 	1.755e-05, 	485.0, 	1.424501%, 	0.250000%, 	1.174501%
2020-04-11 16:15:42, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1712.2604, 	1.755e-05, 	485.0, 	1.424501%, 	0.250000%, 	1.174501%
2020-04-11 16:15:57, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1712.2604, 	1.754e-05, 	269.0, 	1.482326%, 	0.250000%, 	1.232326%
2020-04-11 16:16:12, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1712.2604, 	1.754e-05, 	269.0, 	1.482326%, 	0.250000%, 	1.232326%
2020-04-11 16:16:27, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1712.2604, 	1.75e-05, 	975.0, 	1.714286%, 	0.250000%, 	1.464286%
2020-04-11 16:16:42, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1712.2604, 	1.75e-05, 	975.0, 	1.714286%, 	0.250000%, 	1.464286%
2020-04-11 16:16:57, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1712.2604, 	1.749e-05, 	1284.0, 	1.772441%, 	0.250000%, 	1.522441%
