2020-04-11 11:14:36, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1367.6361, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:14:51, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1367.6361, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:15:06, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16775, 	2000.0, 	0.1672, 	1367.6361, 	0.328947%, 	0.400000%, 	-0.071053%
2020-04-11 13:27:21, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16488, 	2000.0, 	0.1641, 	500.0, 	0.475320%, 	0.400000%, 	0.075320%
2020-04-11 13:27:36, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16488, 	2000.0, 	0.1641, 	500.0, 	0.475320%, 	0.400000%, 	0.075320%
2020-04-11 13:27:51, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16507, 	2000.0, 	0.1642, 	156.6531, 	0.529842%, 	0.400000%, 	0.129842%
2020-04-11 13:28:06, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16574, 	2000.0, 	0.1642, 	156.6531, 	0.937881%, 	0.400000%, 	0.537881%
2020-04-11 13:28:21, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16574, 	2000.0, 	0.1649, 	500.0, 	0.509400%, 	0.400000%, 	0.109400%
2020-04-11 13:28:36, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16574, 	2000.0, 	0.1649, 	500.0, 	0.509400%, 	0.400000%, 	0.109400%
2020-04-11 13:28:51, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16594, 	2000.0, 	0.1649, 	500.0, 	0.630685%, 	0.400000%, 	0.230685%
2020-04-11 13:29:06, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16594, 	2000.0, 	0.1649, 	500.0, 	0.630685%, 	0.400000%, 	0.230685%
2020-04-11 13:29:21, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16594, 	2000.0, 	0.1649, 	500.0, 	0.630685%, 	0.400000%, 	0.230685%
2020-04-11 13:29:36, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16609, 	2000.0, 	0.1653, 	156.6531, 	0.477919%, 	0.400000%, 	0.077919%
2020-04-11 13:29:51, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16609, 	2000.0, 	0.1653, 	156.6531, 	0.477919%, 	0.400000%, 	0.077919%
2020-04-11 13:30:06, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16609, 	2000.0, 	0.1653, 	156.6531, 	0.477919%, 	0.400000%, 	0.077919%
2020-04-11 13:30:21, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16609, 	2000.0, 	0.1653, 	156.6531, 	0.477919%, 	0.400000%, 	0.077919%
2020-04-11 13:30:36, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16609, 	2000.0, 	0.1653, 	156.6531, 	0.477919%, 	0.400000%, 	0.077919%
2020-04-11 13:30:51, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16609, 	2000.0, 	0.1653, 	156.6531, 	0.477919%, 	0.400000%, 	0.077919%
2020-04-11 13:31:06, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16609, 	2000.0, 	0.1653, 	156.6531, 	0.477919%, 	0.400000%, 	0.077919%
2020-04-11 13:31:21, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16609, 	2000.0, 	0.1653, 	156.6531, 	0.477919%, 	0.400000%, 	0.077919%
2020-04-11 13:31:36, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16609, 	2000.0, 	0.1653, 	156.6531, 	0.477919%, 	0.400000%, 	0.077919%
2020-04-11 13:31:51, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16609, 	2000.0, 	0.1653, 	156.6531, 	0.477919%, 	0.400000%, 	0.077919%
