2020-04-09 22:05:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:06:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:06:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:06:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:06:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:07:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:07:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:07:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:07:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:08:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:08:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:08:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:08:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:09:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:09:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:09:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:09:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:10:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:10:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	0.00682524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
