2020-04-10 17:14:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:14:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:15:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:15:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:15:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:15:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:16:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:16:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:16:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014028, 	7.9609, 	0.513259%, 	0.240000%, 	0.273259%
2020-04-10 17:16:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:17:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014028, 	7.9609, 	0.513259%, 	0.240000%, 	0.273259%
2020-04-10 17:17:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014028, 	7.9609, 	0.513259%, 	0.240000%, 	0.273259%
2020-04-10 17:17:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014028, 	7.9609, 	0.513259%, 	0.240000%, 	0.273259%
2020-04-10 17:17:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014038, 	7.9609, 	0.441658%, 	0.240000%, 	0.201658%
2020-04-10 17:18:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014038, 	7.9609, 	0.441658%, 	0.240000%, 	0.201658%
2020-04-10 17:18:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014058, 	7.9609, 	0.298762%, 	0.240000%, 	0.058762%
2020-04-10 17:18:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014058, 	7.9609, 	0.298762%, 	0.240000%, 	0.058762%
2020-04-10 17:18:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014058, 	7.9609, 	0.298762%, 	0.240000%, 	0.058762%
2020-04-10 17:19:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014058, 	7.9609, 	0.298762%, 	0.240000%, 	0.058762%
2020-04-10 17:19:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014058, 	7.9609, 	0.298762%, 	0.240000%, 	0.058762%
2020-04-10 17:19:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014058, 	7.9609, 	0.298762%, 	0.240000%, 	0.058762%
2020-04-10 17:19:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014058, 	7.9609, 	0.298762%, 	0.240000%, 	0.058762%
