2020-04-11 18:22:28, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:22:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:22:43, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:22:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:22:58, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:23:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:23:13, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:23:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:23:28, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:23:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:23:43, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:23:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:23:58, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:24:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:24:13, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:24:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:24:29, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:24:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:24:44, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:24:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:24:59, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:25:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:25:14, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:25:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:25:29, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:25:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:25:44, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:25:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:25:59, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:26:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:26:14, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:26:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:26:29, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	12875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:26:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	12875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:26:44, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:26:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:26:59, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:27:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:27:14, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:27:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	2875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:27:29, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	13122.937, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:27:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	13122.937, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:27:44, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	12875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:27:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	12875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:27:59, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	12875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:28:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	12875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:28:14, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	12875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
2020-04-11 18:28:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.337e-05, 	12875.989, 	3.303e-05, 	15.48838758, 	1.029367%, 	0.510000%, 	0.519367%
