2020-04-10 01:26:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:27:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:27:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:27:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:27:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:28:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:28:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:28:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:28:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:29:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:29:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:29:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:29:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:30:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:30:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	7634.0, 	2.277e-05, 	413.47193569, 	-0.570927%, 	0.350000%, 	-0.920927%
2020-04-10 02:47:56, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	18.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
2020-04-10 02:48:11, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	18.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
2020-04-10 02:48:26, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	18.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
2020-04-10 02:48:41, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	18.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
2020-04-10 02:48:56, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	18.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
2020-04-10 02:49:11, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	18.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
2020-04-10 02:49:26, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	18.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
2020-04-10 02:49:41, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	18.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
2020-04-10 02:49:56, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	18.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
2020-04-10 02:50:11, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	18.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
2020-04-10 02:50:26, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	18.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
2020-04-10 02:50:41, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	18.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
2020-04-10 02:50:56, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	10.0, 	2.248e-05, 	897.91285441, 	0.667260%, 	0.350000%, 	0.317260%
