2020-04-07 22:00:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.96295746, 	2.319, 	53.66, 	7.4, 	2.428173%, 	0.240000%, 	2.188173%
2020-04-07 22:01:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.79441769, 	0.02578968, 	53.65, 	11.50437, 	2.133118%, 	0.240000%, 	1.893118%
2020-04-07 22:01:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.84864258, 	5.7, 	53.65, 	85.3150888, 	2.234189%, 	0.240000%, 	1.994189%
2020-04-07 22:02:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.91603659, 	0.08433726, 	53.82, 	9.610749, 	2.036486%, 	0.240000%, 	1.796486%
2020-04-07 22:02:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.98892031, 	37.7840633, 	53.82, 	7.0, 	2.171907%, 	0.240000%, 	1.931907%
2020-04-07 22:03:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.01180544, 	11.63178, 	53.8, 	51.3087612, 	2.252426%, 	0.240000%, 	2.012426%
2020-04-07 22:03:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.8891165, 	11.63178, 	53.81, 	7.0, 	2.005420%, 	0.240000%, 	1.765420%
2020-04-07 22:04:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.93585172, 	11.63178, 	53.81, 	9.73863, 	2.092272%, 	0.240000%, 	1.852272%
2020-04-07 22:04:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.98230032, 	6.35402, 	53.81, 	7.0, 	2.178592%, 	0.240000%, 	1.938592%
2020-04-07 22:05:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.61434189, 	11.63178, 	53.81, 	7.5, 	1.494781%, 	0.240000%, 	1.254781%
2020-04-07 22:05:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.68868422, 	7.0, 	53.78, 	7.5, 	1.689632%, 	0.240000%, 	1.449632%
2020-04-07 22:06:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.70956388, 	2.1, 	53.78, 	7.0, 	1.728456%, 	0.240000%, 	1.488456%
2020-04-07 22:06:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.78129349, 	2.1, 	53.77, 	12.73, 	1.880776%, 	0.240000%, 	1.640776%
2020-04-07 22:07:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.80915058, 	2.1, 	53.75, 	19.36803372, 	1.970513%, 	0.240000%, 	1.730513%
2020-04-07 22:07:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.60557611, 	2.1, 	53.69, 	11.62963, 	1.705301%, 	0.240000%, 	1.465301%
2020-04-07 22:08:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.77981501, 	0.01827133, 	53.68, 	59.19367843, 	2.048836%, 	0.240000%, 	1.808836%
2020-04-07 22:08:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.79041269, 	2.1, 	53.65, 	9.718956, 	2.125653%, 	0.240000%, 	1.885653%
2020-04-07 22:09:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.77981501, 	0.01827133, 	53.63, 	47.85297168, 	2.143977%, 	0.240000%, 	1.903977%
2020-04-07 22:09:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.77981501, 	0.01827133, 	53.63, 	107.776164, 	2.143977%, 	0.240000%, 	1.903977%
2020-04-07 22:10:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.77981501, 	0.01827133, 	53.66, 	106.04482, 	2.086871%, 	0.240000%, 	1.846871%
2020-04-07 22:10:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.78113534, 	1.2, 	53.66, 	7.0, 	2.089332%, 	0.240000%, 	1.849332%
2020-04-07 22:11:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.83161918, 	0.90997978, 	53.66, 	1.66545211, 	2.183413%, 	0.240000%, 	1.943413%
2020-04-07 22:11:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.90603559, 	1.2, 	53.66, 	0.00045211, 	2.322094%, 	0.240000%, 	2.082094%
2020-04-07 22:12:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.96338118, 	1.2, 	53.66, 	0.00045211, 	2.428962%, 	0.240000%, 	2.188962%
2020-04-07 22:12:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	54.9738233, 	1.2, 	53.66, 	0.00045211, 	2.448422%, 	0.240000%, 	2.208422%
2020-04-07 22:13:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.03727338, 	7.0, 	53.74, 	9.736419, 	2.413981%, 	0.240000%, 	2.173981%
