2020-04-11 12:31:58, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:32:13, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:32:28, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:32:44, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:32:59, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:33:14, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.257e-05, 	3003.0, 	0.620292%, 	0.190000%, 	0.430292%
2020-04-11 12:33:29, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.257e-05, 	3003.0, 	0.620292%, 	0.190000%, 	0.430292%
2020-04-11 12:33:44, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.257e-05, 	3003.0, 	0.620292%, 	0.190000%, 	0.430292%
2020-04-11 12:33:59, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.252e-05, 	125.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:34:14, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.252e-05, 	125.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:34:29, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.252e-05, 	125.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:34:44, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.252e-05, 	125.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:34:59, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.252e-05, 	125.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:35:14, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.252e-05, 	125.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:35:29, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.257e-05, 	3003.0, 	0.620292%, 	0.190000%, 	0.430292%
2020-04-11 12:35:44, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	959.53807269, 	2.253e-05, 	1222.0, 	0.798935%, 	0.190000%, 	0.608935%
2020-04-11 12:35:59, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	959.53807269, 	2.252e-05, 	1978.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:36:14, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	959.53807269, 	2.251e-05, 	2782.0, 	0.888494%, 	0.190000%, 	0.698494%
2020-04-11 12:36:29, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	959.53807269, 	2.252e-05, 	1978.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:36:44, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	959.53807269, 	2.252e-05, 	5543.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:36:59, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	959.53807269, 	2.252e-05, 	4981.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:37:14, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	959.53807269, 	2.252e-05, 	4355.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:37:29, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	959.53807269, 	2.252e-05, 	4355.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:37:44, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	959.53807269, 	2.252e-05, 	4355.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:37:59, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	959.53807269, 	2.252e-05, 	4355.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:38:14, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	959.53807269, 	2.252e-05, 	4338.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:38:29, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	959.53807269, 	2.252e-05, 	3227.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:38:44, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	71.43860555, 	2.252e-05, 	3131.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:38:59, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	71.43860555, 	2.252e-05, 	3040.0, 	0.843694%, 	0.190000%, 	0.653694%
2020-04-11 12:39:14, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8836.30899694, 	2.252e-05, 	3040.0, 	0.799290%, 	0.190000%, 	0.609290%
2020-04-11 12:39:29, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8836.30899694, 	2.252e-05, 	3040.0, 	0.799290%, 	0.190000%, 	0.609290%
2020-04-11 12:39:44, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8836.30899694, 	2.252e-05, 	3040.0, 	0.799290%, 	0.190000%, 	0.609290%
2020-04-11 12:39:59, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8836.30899694, 	2.252e-05, 	3040.0, 	0.799290%, 	0.190000%, 	0.609290%
2020-04-11 12:40:14, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8836.30899694, 	2.252e-05, 	3040.0, 	0.799290%, 	0.190000%, 	0.609290%
2020-04-11 12:40:29, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8836.30899694, 	2.252e-05, 	3040.0, 	0.799290%, 	0.190000%, 	0.609290%
2020-04-11 12:40:44, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8836.30899694, 	2.252e-05, 	3040.0, 	0.799290%, 	0.190000%, 	0.609290%
2020-04-11 12:40:59, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8836.30899694, 	2.252e-05, 	3040.0, 	0.799290%, 	0.190000%, 	0.609290%
2020-04-11 12:41:14, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8836.30899694, 	2.252e-05, 	3040.0, 	0.799290%, 	0.190000%, 	0.609290%
2020-04-11 12:41:29, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8746.11932709, 	2.252e-05, 	2248.0, 	0.799290%, 	0.190000%, 	0.609290%
2020-04-11 12:41:44, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8746.11932709, 	2.252e-05, 	1878.0, 	0.799290%, 	0.190000%, 	0.609290%
2020-04-11 12:41:59, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8746.11932709, 	2.252e-05, 	1878.0, 	0.799290%, 	0.190000%, 	0.609290%
2020-04-11 12:42:14, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8746.11932709, 	2.253e-05, 	566.0, 	0.754549%, 	0.190000%, 	0.564549%
2020-04-11 12:42:29, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.27e-05, 	8746.11932709, 	2.253e-05, 	566.0, 	0.754549%, 	0.190000%, 	0.564549%
